,Geo,Date_Time,User,Tweet,Language,Location,UserAccountVerified,Tweet_Source,Retweet_Count,Tweet_FavCount
248,,2020-03-14 13:15:50,athanaske, Wakalee tulkosea nini 🤣🤣🤣If you haven't watched this be sure to watch till the end. #covid19kenya #CoronaVirusUpdates…,en,karatina,False,Twitter Web App,176,0
249,,2020-03-14 13:15:45,NgenyAmon, Till now....Jamaica has not recorded any case about CORONA virus💪💪💪🙄🙄Are you thinking what am thinking#coronaInkenya…,en,,False,Twitter for Android,114,0
250,,2020-03-14 13:14:52,DWarwere, Raymond Reddington already knows who created the Corona virus but he can only talk to Elizabeth Keen. Lizzy where are yo…,en,"Nairobi, Kenya ",False,Twitter for Android,496,0
251,,2020-03-14 13:14:38,BilliCheru, Did the Kenyan government fake the claims to get donor funding? That's what everyone is saying the Kenyan government is doi…,en,"Kericho, Kenya",False,Twitter for Android,143,0
252,,2020-03-14 13:14:26,254Chowmox,You people joke too much #coronaInkenya 😂😂😂 ,en,Mombasa,False,Twitter Web App,0,1
253,,2020-03-14 13:14:17,ondati_dennis,"Churches, schools/universities, political rallies n many others should follow ⏬⏬only this we can be able to confine… ",en,"Nairobi, Kenya",False,Twitter Web App,0,0
254,,2020-03-14 13:14:11,Chrishabib5, Kigali Rwanda bus park /station... Just before boarding a bus. Y'all can say shit about Paul Kagame but that dude is ove…,en,"Nairobi, Kenya",False,Twitter for Android,254,0
255,,2020-03-14 13:14:01,kingofzamundaKE, Stay safe.Meanwhile Gargling ni kufanya Groooooo  Groooooo .Hope you feel me #covid19kenya #coronaInkenya #rongai …,en,"Nairobi, Kenya",False,Twitter Web App,34,0
256,,2020-03-14 13:14:00,davidseyram101, Welcoming corona to Uganda like 🤣🤣🤣#coronaInkenya #coronavirus ,en,"Accra, Ghana",False,Twitter for Android,4,0
257,,2020-03-14 13:13:54,perezmunyao, The lines are working . You can also get more information on #Covid_19 through Safaricom by dialing *719# #Coronainkenya,en,"Nairobi, Kenya",False,Twitter for iPhone,7,0
258,,2020-03-14 13:13:44,Mchunguz111101, This week's editorial cartoon by  #coronaInkenya #CoronaVirusUpdate ,en,globally,False,Twitter for Android,8,0
